Car Model,warranty,Engine capacity,Horse Power,Maximum Speed,Acceleration,Speeds,Transmission Type,Year,Fuel,liter/100KM,Origin Country,Assembly Country,Length (mm),Width (mm),Height (mm),Ground Clearance,Wheel Base,Trunk Size,Seats,Traction Type,Number of cylinder,Fuel tank capacity,Torque of newton,Insurance Price,Register Price
Hyundai Accent RB 2023 A/T / TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2023,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,000 EGP","3,600 EGP"
Hyundai Accent RB 2023 A/T / SR TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2023,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,250 EGP","3,700 EGP"
Hyundai Accent RB 2023 A/T / DAB ABS TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2023,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,500 EGP","3,800 EGP"
Hyundai Accent RB 2023 A/T / DAB ABS PLUS TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2023,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,750 EGP","3,900 EGP"
Hyundai Accent RB 2023 A/T / Highline TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2023,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"10,000 EGP","4,000 EGP"
Hyundai Accent RB 2022 A/T / TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2022,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"8,750 EGP","3,500 EGP"
Hyundai Accent RB 2022 A/T / SR TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2022,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,000 EGP","3,600 EGP"
Hyundai Accent RB 2022 A/T / DAB ABS TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2022,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,175 EGP","3,670 EGP"
Hyundai Accent RB 2022 A/T / DAB ABS PLUS TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2022,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,425 EGP","3,770 EGP"
Hyundai Accent RB 2022 A/T / Highline TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2022,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,675 EGP","3,870 EGP"
Hyundai Accent HCI 2022 A/T / Smart,"100000 Km /
3 Year(s)",1400 CC,99,180,11.3,6 Speeds,automatic,Year 2022,92,6.4,Korea,India,4440,1729,1460,150,2600,480,5,Front Traction,4,45,132,"9,250 EGP","3,700 EGP"
Hyundai Accent HCI 2022 A/T / SMART FUN,"100000 Km /
3 Year(s)",1400 CC,99,180,11.3,6 Speeds,automatic,Year 2022,92,6.4,Korea,India,4440,1729,1460,150,2600,480,5,Front Traction,4,45,132,"9,750 EGP","3,900 EGP"
Hyundai Accent HCI 2022 A/T / Smart Safety,"100000 Km /
3 Year(s)",1400 CC,99,180,11.3,6 Speeds,automatic,Year 2022,92,6.4,Korea,India,4440,1729,1460,150,2600,480,5,Front Traction,4,45,132,"9,750 EGP","3,900 EGP"
Hyundai Accent HCI 2022 A/T / Smart Plus,"100000 Km /
3 Year(s)",1400 CC,99,180,11.3,6 Speeds,automatic,Year 2022,92,6.4,Korea,India,4440,1729,1460,150,2600,480,5,Front Traction,4,45,132,"10,250 EGP","4,100 EGP"
Hyundai I10 2022 A/T / Spirit,"100000 Km /
3 Year(s)",1200 CC,84,,,5 Speeds,automatic,Year 2022,95,,Korea,,3670,1680,1480,2425,,252,,Front Traction,,,118,"9,375 EGP","3,750 EGP"
Hyundai I10 2022 A/T / Elite,"100000 Km /
3 Year(s)",1200 CC,84,,,5 Speeds,automatic,Year 2022,95,,Korea,,3670,1680,1480,2425,,252,,Front Traction,,,118,"9,625 EGP","3,850 EGP"
Hyundai Elantra HD 2023 Automatic / GL / TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,121,182,11.3,4 Speeds,automatic,Year 2023,92,6.6,Korea,Egypt,4505,1541,1490,160,2650,402,5,Front Traction,4,53,53,"10,750 EGP","4,300 EGP"
Hyundai Elantra HD 2023 Automatic / GL / SR / TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,121,182,11.3,4 Speeds,automatic,Year 2023,92,6.6,Korea,Egypt,4505,1541,1490,160,2650,402,5,Front Traction,4,53,156,"11,000 EGP","4,400 EGP"
Hyundai Elantra HD 2023 Automatic / GL / DAB / ABS / Tinted glass,"100000 Km /
3 Year(s)",1600 CC,121,182,11.3,4 Speeds,automatic,Year 2023,92,6.6,Korea,Egypt,4505,1541,1490,160,2650,402,5,Front Traction,4,53,156,"11,250 EGP","4,500 EGP"
Hyundai Elantra HD 2023 A/T / HIGHLINE TINTED GLASS 15,"100000 Km /
3 Year(s)",1600 CC,121,182,11.3,4 Speeds,automatic,Year 2023,92,6.6,Korea,Egypt,4505,1541,1490,160,2650,402,5,Front Traction,4,53,156,"11,500 EGP","4,600 EGP"
Hyundai Elantra HD 2022 Automatic / GL / TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,121,182,11.3,4 Speeds,automatic,Year 2022,92,6.6,Korea,Egypt,4505,1541,1490,160,2650,402,5,Front Traction,4,53,53,"10,425 EGP","4,170 EGP"
Hyundai Elantra HD 2022 Automatic / GL / SR / TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,121,182,11.3,4 Speeds,automatic,Year 2022,92,6.6,Korea,Egypt,4505,1541,1490,160,2650,402,5,Front Traction,4,53,156,"10,675 EGP","4,270 EGP"
Hyundai Elantra HD 2022 Automatic / GL / DAB / ABS / Tinted glass,"100000 Km /
3 Year(s)",1600 CC,121,182,11.3,4 Speeds,automatic,Year 2022,92,6.6,Korea,Egypt,4505,1541,1490,160,2650,402,5,Front Traction,4,53,156,"10,925 EGP","4,370 EGP"
Hyundai Elantra HD 2022 A/T / HIGHLINE TINTED GLASS 15,"100000 Km /
3 Year(s)",1600 CC,121,182,11.3,4 Speeds,automatic,Year 2022,92,6.6,Korea,Egypt,4505,1541,1490,160,2650,402,5,Front Traction,4,53,156,"11,175 EGP","4,470 EGP"
Hyundai Elantra CN7 2022 A/T / SMART,"100000 Km /
5 Year(s)",1600 CC,126,,,6 Speeds,automatic,Year 2022,92,,Korea,Korea,4675,1825,1430,150,2720,474,5,Front Traction,4,,155,"11,000 EGP","4,400 EGP"
Hyundai Elantra CN7 2022 A/T / SMART SAFETY,"100000 Km /
5 Year(s)",1600 CC,126,,,6 Speeds,automatic,Year 2022,92,,Korea,Korea,4675,1825,1430,150,2720,474,5,Front Traction,4,,155,"11,250 EGP","4,500 EGP"
Hyundai Elantra CN7 2022 A/T / SMART FUN,"100000 Km /
5 Year(s)",1600 CC,126,,,6 Speeds,automatic,Year 2022,92,,Korea,Korea,4675,1825,1430,150,2720,474,5,Front Traction,4,,155,"11,625 EGP","4,650 EGP"
Hyundai Elantra CN7 2022 A/T / SMART PLUS,"100000 Km /
5 Year(s)",1600 CC,126,,,6 Speeds,automatic,Year 2022,92,,Korea,Korea,4675,1825,1430,150,2720,474,5,Front Traction,4,,155,"12,250 EGP","4,900 EGP"
Hyundai Elantra CN7 2022 A/T / MODERN,"100000 Km /
5 Year(s)",1600 CC,126,,,6 Speeds,automatic,Year 2022,92,,Korea,Korea,4675,1825,1430,150,2720,474,5,Front Traction,4,,155,"12,875 EGP","5,150 EGP"
Hyundai Elantra CN7 2022 AT / SMART V2,"100000 Km /
5 Year(s)",1600 CC,126,,,6 Speeds,automatic,Year 2022,92,,Korea,Korea,4675,1825,1430,150,2720,474,5,Front Traction,4,,155,"13,375 EGP","5,350 EGP"
Hyundai Elantra CN7 2022 A/T / ADVANCED,"100000 Km /
5 Year(s)",1600 CC,126,,,6 Speeds,automatic,Year 2022,92,,Korea,Korea,4675,1825,1430,150,2720,474,5,Front Traction,4,,155,"13,750 EGP","5,500 EGP"
Hyundai Elantra CN7 2022 A/T / ADVANCED / WHITE PACK,"100000 Km /
5 Year(s)",1600 CC,126,,,6 Speeds,automatic,Year 2022,92,,Korea,Korea,4675,1825,1430,150,2720,474,5,Front Traction,4,,155,"13,875 EGP","5,550 EGP"
Hyundai Elantra CN7 2022 A/T / PREMIUM,"100000 Km /
5 Year(s)",1600 CC,126,,,6 Speeds,automatic,Year 2022,92,,Korea,Korea,4675,1825,1430,150,2720,474,5,Front Traction,4,,155,"15,250 EGP","6,100 EGP"
Hyundai Elantra CN7 2022 A/T / PREMIUM / WHITE PACK,"100000 Km /
5 Year(s)",1600 CC,126,,,6 Speeds,automatic,Year 2022,92,,Korea,Korea,4675,1825,1430,150,2720,474,5,Front Traction,4,,155,"15,375 EGP","6,150 EGP"
Hyundai I20 2022 A/T / SPIRIT,"100000 Km /
3 Year(s)",1400 CC,99,,,6 Speeds,automatic,Year 2022,92,,Korea,Korea,4040,1775,1450,140,2580,351,5,Front Traction,4,,134,"12,125 EGP","4,850 EGP"
Hyundai I20 2022 A/T / Dynamic,"100000 Km /
3 Year(s)",1400 CC,99,,,6 Speeds,automatic,Year 2022,92,,Korea,Korea,4040,1775,1450,140,2580,351,5,Front Traction,4,,134,"12,875 EGP","5,150 EGP"
Hyundai I20 2022 A/T / Elite,"100000 Km /
3 Year(s)",1400 CC,99,,,6 Speeds,automatic,Year 2022,92,,Korea,Korea,4040,1775,1450,140,2580,140,5,Front Traction,4,,134,"13,375 EGP","5,350 EGP"
Hyundai I20 2022 A/T / Ultimate,"100000 Km /
3 Year(s)",1400 CC,99,,,6 Speeds,automatic,Year 2022,92,,Korea,Korea,4040,1775,1450,140,2580,140,5,Front Traction,4,,134,"13,875 EGP","5,550 EGP"
Hyundai Bayon 2022 AT / Spirit,"100000 Km /
3 Year(s)",1400 CC,100,,10.4,6 Speeds,automatic,Year 2022,92,,Korea,Turkey,4180,1557,1500,165,2580,411,5,Front Traction,4,,134,"13,375 EGP","5,350 EGP"
Hyundai Bayon 2022 A/T / Dynamic,"100000 Km /
3 Year(s)",1400 CC,100,,10.4,6 Speeds,automatic,Year 2022,92,,Korea,Turkey,4180,1557,1500,165,2580,411,5,Front Traction,4,,134,"14,250 EGP","5,700 EGP"
Hyundai Bayon 2022 A/T / Elite,"100000 Km /
3 Year(s)",1400 CC,100,,10.4,6 Speeds,automatic,Year 2022,92,,Korea,Turkey,4180,1557,1500,165,2580,411,5,Front Traction,4,,134,"15,000 EGP","6,000 EGP"
Hyundai Bayon 2022 A/T / Ultimate,"100000 Km /
3 Year(s)",1400 CC,100,,10.4,6 Speeds,automatic,Year 2022,92,,Korea,Turkey,4180,1557,1500,165,2580,411,5,Front Traction,4,,134,"15,625 EGP","6,250 EGP"
Hyundai Creta SU2 2022 A/T / SMART,"100000 Km /
3 Year(s)",1500 CC,113,,,,CVT,Year 2022,92,,Korea,India,4300,1790,1620,190,2610,433,5,Front Traction,4,,144,"13,750 EGP","5,500 EGP"
Hyundai Creta SU2 2022 A/T / SMART / Two Tone,"100000 Km /
3 Year(s)",1500 CC,113,,,,CVT,Year 2022,92,,Korea,India,4300,1790,1620,190,2610,433,5,Front Traction,4,,144,"13,825 EGP","5,530 EGP"
Hyundai Creta SU2 2022 A/T / SMART PLUS,"100000 Km /
3 Year(s)",1500 CC,113,,,,CVT,Year 2022,92,,Korea,India,4300,1790,1620,190,2610,433,5,Front Traction,4,,144,"14,250 EGP","5,700 EGP"
Hyundai Creta SU2 2022 A/T / SMART PLUS / Two Tone,"100000 Km /
3 Year(s)",1500 CC,113,,,,CVT,Year 2022,92,,Korea,India,4300,1790,1620,190,2610,433,5,Front Traction,4,,144,"14,325 EGP","5,730 EGP"
Hyundai Creta SU2 2022 A/T / MODERN,"100000 Km /
3 Year(s)",1500 CC,113,,,,CVT,Year 2022,92,,Korea,India,4300,1790,1620,190,2610,433,5,Front Traction,4,,433,"14,875 EGP","5,950 EGP"
Hyundai Creta SU2 2022 A/T / MODERN / Two Tone,"100000 Km /
3 Year(s)",1500 CC,113,,,,CVT,Year 2022,92,,Korea,India,4300,1790,1620,190,2610,433,5,Front Traction,4,,144,"14,950 EGP","5,980 EGP"
Hyundai Creta SU2 2022 A/T / ADVANCED,"100000 Km /
3 Year(s)",1500 CC,113,,,,CVT,Year 2022,92,,Korea,India,4300,1790,1620,190,2610,433,5,Front Traction,4,,144,"15,625 EGP","6,250 EGP"
Hyundai Creta SU2 2022 A/T / ADVANCED / Two Tone,"100000 Km /
3 Year(s)",1500 CC,113,,,,CVT,Year 2022,92,,Korea,India,4300,1790,1620,190,2610,433,5,Front Traction,4,,144,"15,700 EGP","6,280 EGP"
Hyundai Tucson 2022 A/T / Smart,"100000 Km /
5 Year(s)",1600 CC - Turbo,180,201,9,7 Speeds,DSG,Year 2022,95,6,Korea,Czech,4500,1865,1651,170,2680,503,5,Front Traction,4,54,265,"14,875 EGP","5,950 EGP"
Hyundai Tucson 2022 A/T / SMART / Two Tone,"100000 Km /
5 Year(s)",1600 CC - Turbo,180,201,9,7 Speeds,DSG,Year 2022,95,6,Korea,Czech,4500,1865,1651,170,2680,503,5,Front Traction,4,54,265,"15,000 EGP","6,000 EGP"
Hyundai Tucson 2022 A/T / Smart Plus,"100000 Km /
5 Year(s)",1600 CC - Turbo,180,201,9,7 Speeds,DSG,Year 2022,95,6,Korea,Czech,4500,1865,1651,170,2680,503,5,Front Traction,4,54,265,"15,625 EGP","6,250 EGP"
Hyundai Tucson 2022 A/T / Modern,"100000 Km /
5 Year(s)",1600 CC - Turbo,180,201,9,7 Speeds,DSG,Year 2022,95,6,Korea,Czech,4500,1865,1651,170,2680,503,5,Front Traction,4,54,265,"16,500 EGP","6,600 EGP"
Hyundai Tucson 2022 A/T / Advanced,"100000 Km /
5 Year(s)",1600 CC - Turbo,180,201,9,7 Speeds,DSG,Year 2022,95,6,Korea,Czech,4500,1865,1651,170,2680,503,5,Front Traction,4,54,265,"17,875 EGP","7,150 EGP"
Hyundai Tucson 2022 A/T / Premium,"100000 Km /
5 Year(s)",1600 CC - Turbo,180,201,9,7 Speeds,DSG,Year 2022,95,6,Korea,Czech,4500,1865,1651,170,2680,503,5,Front Traction,4,54,265,"18,875 EGP","7,550 EGP"
Chery Arrizo 5 2023 Manual / Base Line / Leather,"100000 Km /
5 Year(s)",1500 CC,114,180,11.5,5 Speeds,manual,Year 2023,92,7,China,China,4572,1825,1482,129,2670,430,5,Front Traction,4,48,141,"7,375 EGP","2,950 EGP"
Chery Arrizo 5 2023 AT / BASELINE Leather / CVT,"100000 Km /
5 Year(s)",1500 CC,114,180,11.5,7 Speeds,CVT,Year 2023,92,7,China,China,4572,1825,1482,129,2670,430,5,Front Traction,4,48,141,"8,225 EGP","3,290 EGP"
Chery Arrizo 5 2023 AT / HIGHLINE,"100000 Km /
5 Year(s)",1500 CC,114,180,11.5,7 Speeds,CVT,Year 2023,92,7,China,China,4572,1825,1482,129,2670,430,5,Front Traction,4,48,141,"8,725 EGP","3,490 EGP"
Chery Arrizo 5 2022 Manual / Base Line / Leather,"100000 Km /
5 Year(s)",1500 CC,114,180,11.5,5 Speeds,manual,Year 2022,92,7,China,Egypt,4572,1825,1482,129,2670,430,5,Front Traction,4,48,141,"6,675 EGP","2,670 EGP"
Chery Arrizo 5 2022 AT / BASELINE Leather,"100000 Km /
5 Year(s)",1500 CC,114,180,11.5,7 Speeds,CVT,Year 2022,92,7,China,Egypt,4572,1825,1482,129,2670,430,5,Front Traction,4,48,141,"7,475 EGP","2,990 EGP"
Chery Arrizo 5 2022 AT / HIGHLINE,"100000 Km /
5 Year(s)",1500 CC,114,180,11.5,7 Speeds,CVT,Year 2022,92,7,China,Egypt,4572,1825,1482,129,2670,430,5,Front Traction,4,48,141,"7,975 EGP","3,190 EGP"
Chery Tiggo 3 2023 Automtic / Tinted Glass,"100000 Km /
5 Year(s)",1600 CC,125,180,,,CVT,Year 2023,92,6.1,China,China,4419,1765,1651,190,2510,550,5,Front Traction,4,55,160,"10,250 EGP","4,100 EGP"
Chery Tiggo 3 2022 Automtic,"100000 Km /
5 Year(s)",1600 CC,125,180,,,CVT,Year 2022,92,6.1,China,Egypt,4419,1765,1651,190,2510,550,5,Front Traction,4,55,160,"9,300 EGP","3,720 EGP"
Chery Tiggo 7 2023 A/T / Baseline,"100000 Km /
5 Year(s)",1500 CC - Turbo,145,180,,6 Speeds,DSG,Year 2023,92,7.4,China,Egypt,4505,1837,1670,210,2670,414,5,Front Traction,4,57,210,"12,000 EGP","4,800 EGP"
Chery Tiggo 7 2023 A/T / Highline,"100000 Km /
5 Year(s)",1500 CC - Turbo,145,180,,6 Speeds,DSG,Year 2023,92,7.4,China,Egypt,4505,1837,1670,210,2670,414,5,Front Traction,4,57 ,210,"13,000 EGP","5,200 EGP"
Chery Tiggo 7 2022 A/T / Baseline,"100000 Km /
5 Year(s)",1500 CC - Turbo,145,180,,6 Speeds,DSG,Year 2022,92,7.4,China,Egypt,4505,1837,1670,210,2670,414,5,Front Traction,4,57,210,"10,975 EGP","4,390 EGP"
Chery Tiggo 7 2022 A/T / Highline,"100000 Km /
5 Year(s)",1500 CC - Turbo,145,180,,6 Speeds,DSG,Year 2022,92,7.4,China,Egypt,4505,1837,1670,210,2670,414,5,Front Traction,4,57,210,"11,750 EGP","4,700 EGP"
Chery Tiggo 7 pro 2022 A/T / Comfort,"150000 Km /
6 Year(s)",1500 CC - Turbo,154,,,,CVT,Year 2022,95,,China,China,4500,1842,1746,,2670,475,5,Front Traction,4,,210,"16,500 EGP","6,600 EGP"
Chery Tiggo 7 pro 2022 A/T / Luxury,"150000 Km /
6 Year(s)",1500 CC - Turbo,154,,,,CVT,Year 2022,95,,China,China,4500,1842,1746,,2670,475,5,Front Traction,4,,210,"17,750 EGP","7,100 EGP"
Chery Tiggo 8 2022 Automtic / COMFORT,"150000 Km /
6 Year(s)",1500 CC - Turbo,145,,,6 Speeds,DSG,Year 2022,92,,China,China,4700,1860,1746,200,2710,193,7,Front Traction,4,51,210,"16,875 EGP","6,750 EGP"
Chery Tiggo 8 2022 A/T / Luxury,"150000 Km /
6 Year(s)",1500 CC - Turbo,145,,,6 Speeds,DSG,Year 2022,92,,China,China,4700,1860,1746,200,2710,193,7,Front Traction,4,51,210,"18,000 EGP","7,200 EGP"
Chery Tiggo 8 Pro 2023 AT-6DCT COMFORT,"100000 Km /
5 Year(s)",1600 CC - Turbo,197,,,7 Speeds,DSG,Year 2023,,,China,China,4722,1860,1745,,2710,,7,Front Traction,4,51,290,"19,000 EGP","7,600 EGP"
Chery Tiggo 8 Pro 2022 A/T / comfort,"100000 Km /
5 Year(s)",1600 CC - Turbo,197,,,7 Speeds,DSG,Year 2022,,,China,,4722,1860,1745,,2710,,7,Front Traction,4,51,290,"18,875 EGP","7,550 EGP"
Chery Tiggo 8 Pro 2022 A/T / Luxury,"100000 Km /
5 Year(s)",1600 CC - Turbo,197,,,7 Speeds,DSG,Year 2022,95,,China,,4722,1860,1745,,2710,,7,Front Traction,4,51,290,"20,750 EGP","8,300 EGP"
Chery Tiggo 8 Pro 2022 Automatic / Flagship,"100000 Km /
5 Year(s)",1600 CC - Turbo,197,,,7 Speeds,DSG,Year 2022,95,,China,,4722,1860,1745,,2710,,7,Front Traction,4,51,290,"21,750 EGP","8,700 EGP"
Kia Grand Cerato 2022 A/T / LX FO,"100000 Km /
5 Year(s)",1600 CC,130,,11.6,6 Speeds,automatic,Year 2022,92,6.9,Korea,Korea,4640,1800,1450,150,2700,502,5,Front Traction,4,50,155,"13,498 EGP","5,399 EGP"
Kia Grand Cerato 2022 A/T / EX Cam,"100000 Km /
5 Year(s)",1600 CC,130,,11.6,6 Speeds,automatic,Year 2022,92,6.9,Korea,Korea,4640,1800,1450,150,2700,502,5,Front Traction,4,50,155,"14,748 EGP","5,899 EGP"
Kia Grand Cerato 2022 A/T / Highline,"100000 Km /
5 Year(s)",1600 CC,130,,11.6,6 Speeds,automatic,Year 2022,92,6.9,Korea,Korea,4640,1800,1450,150,2700,502,5,Front Traction,4 ,50,155,"15,498 EGP","6,199 EGP"
Kia Grand Cerato 2022 A/T / Topline,"100000 Km /
5 Year(s)",1600 CC,130,,11.6,6 Speeds,automatic,Year 2022,92,6.9,Korea,Korea,4640,1800,1450,150,2700,502,5,Front Traction,4,50,155,"16,748 EGP","6,699 EGP"
Kia Sorento 2022 A/T / High Line,"100000 Km /
5 Year(s)",33000 CC,,,,6 Speeds,automatic,Year 2022,,,Korea,,,,,,,,,Front Traction,,,,"29,498 EGP","29,498 EGP"
Kia Sorento 2022 A/T / Top Line,"100000 Km /
5 Year(s)",33000 CC,,,,6 Speeds,automatic,Year 2022,,,Korea,,,,,,,,,Front Traction,,,,"32,248 EGP","32,248 EGP"
Kia Sorento 2021 A/T / Premium,"100000 Km /
5 Year(s)",2400 CC,172,196,10.2,6 Speeds,automatic,Year 2021,92,8.9,Korea,Egypt,4800,1890,1690,185,2780,660,5,Front Traction,4,70,229,"13,748 EGP","13,748 EGP"
Kia Sorento 2021 A/T / Luxury,"100000 Km /
5 Year(s)", 3500 CC,280,210,7.8,8 Speeds,automatic,Year 2021,92,10.4,Korea,Egypt,4800,1890,1690,185,2780,660,7,Front Traction,6,70,343,"16,248 EGP","16,248 EGP"
Kia Sorento 2021 A/T / EXCLUSIVE,"100000 Km /
5 Year(s)",3500 CC,280,210,7.8,8 Speeds,automatic,Year 2021,92,10.4,Korea,Egypt,4800,1890,1690,185,2780,660,7,Four-wheel Drive,6,70,343,"18,748 EGP","18,748 EGP"
Kia Sportage 2022 A/T / LX CAM,"100000 Km /
5 Year(s)",1600 CC,140,180,11.1,6 Speeds,automatic,Year 2022,92,6.8,Korea,Slovakia,4485,1855,1635,173,2670,466,5,Front Traction,4,62,161,"13,873 EGP","5,549 EGP"
Kia Sportage 2022 A/T / LX FO Plus,"100000 Km /
5 Year(s)",1600 CC,140,180,11.1,6 Speeds,automatic,Year 2022,92,6.8,Korea,Slovakia,4485,1855,1635,173,2670,466,5,Front Traction,4,62,161,"15,248 EGP","6,099 EGP"
Kia Sportage 2022 A/T / Highline Plus,"100000 Km /
5 Year(s)",1600 CC,140,180,11.1,6 Speeds,automatic,Year 2022,92,6.8,Korea,Slovakia,4485,1855,1635,173,2670,466,5,Front Traction,4,62,161,"16,373 EGP","6,549 EGP"
Kia Sportage 2022 A/T / Topline Plus,"100000 Km /
5 Year(s)",1600 CC,140,180,11.1,6 Speeds,automatic,Year 2022,92,6.8,Korea,Slovakia,4485,1855,1635,173,2670,466,5,Front Traction,4,62,161,"17,623 EGP","7,049 EGP"
Kia Sportage 2022 A/T / Topline Plus + Black Edition,"100000 Km /
5 Year(s)",1600 CC,140,180,11.1,6 Speeds,automatic,Year 2022,92,6.8,Korea,Slovakia,4485,1855,1635,173,2670,466,5,Front Traction,4,62,161,"17,998 EGP","7,199 EGP"
Kia Xceed 2022 A/T / Highline,"100000 Km /
5 Year(s)",1500 CC - Turbo,160,,9.2,7 Speeds,DSG,Year 2022,95,6.1,Korea,Slovakia,4395,1862,1483,184,2650,426,5,Front Traction,4,50,253,"17,498 EGP","6,999 EGP"
Kia Xceed 2022 A/T / Top Line,"100000 Km /
5 Year(s)",1500 CC - Turbo,160,,9.2,7 Speeds,DSG,Year 2022,95,6.1,Korea,Slovakia,4395,1862,1483,184,2650,426,5,Front Traction,4,50,253 ,"18,998 EGP","7,599 EGP"
Kia Sportage 2022 A/T / LX,"100000 Km /
5 Year(s)",1600 CC - Turbo,180,,,7 Speeds,DSG,Year 2022,95,,Korea,,4515,1865,1650,170,2680,591,5,Front Traction,4,54,265,"19,748 EGP","7,899 EGP"
Kia Sportage 2022 A/T / EX,"100000 Km /
5 Year(s)",1600 CC - Turbo,180,,,7 Speeds,DSG,Year 2022,95,,Korea,,4515,1865,1650,170,2680,591,5,Front Traction,4,54,265,"20,748 EGP","8,299 EGP"
Kia Sportage 2022 A/T / Highline,"100000 Km /
5 Year(s)",1600 CC - Turbo,180,,,7 Speeds,DSG,Year 2022,95,,Korea,,4515,1865,1650,170,2680,591,5,Front Traction,4,54,265,"23,248 EGP","9,299 EGP"
Kia Sportage 2022 A/T / Top Line,"100000 Km /
5 Year(s)",1600 CC - Turbo,180,,,7 Speeds,DSG,Year 2022,95,,Korea,,4515,1865,1650,170,2680,591,5,Front Traction,4,54,265,"25,248 EGP","10,099 EGP"
Kia Sportage 2022 A/T / GT-Line,"100000 Km /
5 Year(s)",1600 CC - Turbo,180,,,7 Speeds,DSG,Year 2022,95,,Korea,,4515,1865,1650,170,2680,591,5,Front Traction,4,54,265,"26,748 EGP","10,699 EGP"
Kia Sorento 2022 A/T / High Line,"100000 Km /
5 Year(s)",33000 CC,,,,6 Speeds,automatic,Year 2022,,,Korea,,,,,,,,,Front Traction,,,,"29,498 EGP","29,498 EGP"
Kia Sorento 2022 A/T / Top Line,"100000 Km /
5 Year(s)",33000 CC,,,,6 Speeds,automatic,Year 2022,,,Korea,,,,,,,,,Front Traction,,,,"32,248 EGP","32,248 EGP"
Kia Sorento 2021 A/T / Premium,"100000 Km /
5 Year(s)",2400 CC,172,196,10.2,6 Speeds,automatic,Year 2021,92,8.9,Korea,Egypt,4800,1890,1690,185,2780,660,5,Front Traction,4,70,229,"13,748 EGP","13,748 EGP"
Kia Sorento 2021 A/T / Luxury,"100000 Km /
5 Year(s)",3500 CC,280,210,7.8,8 Speeds,automatic,Year 2021,92,10.4,Korea,Egypt,4800,1890,1690,185,2780,660,7,Front Traction,6,70,343,"16,248 EGP","16,248 EGP"
Kia Sorento 2021 A/T / EXCLUSIVE,"100000 Km /
5 Year(s)",3500 CC,280,210,7.8,8 Speeds,automatic,Year 2021,92,10.4,Korea,Egypt,4800,1890,1690,185,2780,660,7,Four-wheel Drive,6,70,343,"18,748 EGP","18,748 EGP"
Chevrolet Optra 2023 A/T / Highline,"100000 Km /
3 Year(s)",1500 CC,110,170,13.2,6 Speeds,automatic,Year 2023,92,7.3,USA,,4597,1736,1462,173,2640,410,5,Front Traction,4,54,146,"8,963 EGP","3,585 EGP"
Chevrolet Optra 2022 A/T / Comfort,"100000 Km /
3 Year(s)",1500 CC,110,170,13.2,6 Speeds,automatic,Year 2022,92,7.3,USA,China,4597,1736,1462,173,2640,410,5,Front Traction,4,54,146,"5,213 EGP","2,085 EGP"
Chevrolet Optra 2022 A/T / Comfort w Accessories,"100000 Km /
3 Year(s)",1500 CC,110,170,13.2,6 Speeds,automatic,Year 2022,92,7.3,USA,China,4597,1736,1462,173,2640,410,5,Front Traction,4,54,146,"5,388 EGP","2,155 EGP"
Chevrolet Optra 2022 A/T / Luxury,"100000 Km /
3 Year(s)",1500 CC,110,170,13.2,6 Speeds,automatic,Year 2022,92,7.3,USA,China,4597,1736,1462,173,2640,410,5,Front Traction,4,54,146,"6,763 EGP","2,705 EGP"
